"id","txVolume(USD)","adjustedTxVolume(USD)","txCount","marketcap(USD)","price(USD)","exchangeVolume(USD)","generatedCoins","fees"
"1","5684487.227","5684487.227","2050","0","2.83","164329","39311.09375","37.31841351"
"2","37899681.79","37899681.79","2881","167911008","2.79","674188","36191.71875","68.09997007"
"3","823605.5177","823605.5177","1329","42637600","0.706136","532170","27702.1875","14.0989497"
"4","1194050.488","1194050.488","2037","43130000","0.713989","405283","28227.1875","31.16514444"
"5","1053129.873","1053129.873","4963","42796500","0.708087","1463100","27976.71875","11.31144859"
"6","797474.1891","797474.1891","2036","64018400","1.06","2150620","28478.4375","32.5869924"
"7","2182919.675","2182919.675","2842","73935400","1.22","4068680","27528.59375","24.92916911"
"8","4162001.561","4162001.561","3174","109594000","1.81","4637030","27075.46875","14.35483411"
"9","13902410.53","13902410.53","2284","109160000","1.8","2554360","27437.65625","8.836593028"
"10","37899681.79","37899681.79","2881","167911008","2.79","674188","27943.4375","68.09997007"
"11","823605.5177","823605.5177","1329","42637600","0.706136","532170","27178.28125","14.0989497"
"12","1194050.488","1194050.488","2037","43130000","0.713989","405283","27817.34375","31.16514444"
"13","1053129.873","1053129.873","4963","42796500","0.708087","1463100","28027.8125","11.31144859"
"14","797474.1891","797474.1891","2036","64018400","1.06","2150620","27370.9375","32.5869924"
"15","2182919.675","2182919.675","2842","73935400","1.22","4068680","28268.125","24.92916911"
"16","4162001.561","4162001.561","3174","109594000","1.81","4637030","31106.71875","14.35483411"
"17","13902410.53","13902410.53","2284","109160000","1.8","2554360","28512.65625","8.836593028"
"18","2898479.711","2898479.711","2440","102028000","1.68","3550790","27094.53125","6.677237925"
"19","5383055.468","5383055.468","2512","95819696","1.58","1942830","28118.90625","7.64281184"
"20","50","2409105.869","2494","88143200","1.22","1485680","26162.8125","11.90607134"
"21","1691424.304","1691424.304","3246","84663904","1.17","1486240","27282.03125","15.43095067"
"22","592806.2045","592806.2045","2303","90809000","1.25","2843760","21057.03125","6.855566943"
"23","894127.677","894127.677","3919","107266000","1.48","2020970","26690.9375","7.855041725"
"24","874020.8587","874020.8587","3579","101404000","1.4","948310","27550.46875","42.54717183"
"25","697311.4173","697311.4173","4190","99894496","1.38","1589300","26255.625","8.049767673"
"26","630283.1487","630283.1487","4432","97791600","1.35","924920","27333.28125","8.87628542"
"27","505362.4454","505362.4454","4487","89321904","1.23","1307180","26736.09375","8.259755825"
"28","508937.4578","508937.4578","4156","82384400","1.13","1056750","26137.96875","7.447729279"
"29","323871.8274","323871.8274","5590","85106096","1.17","686662","24532.8125","8.670963043"
"30","350703.3559","350703.3559","4758","83521696","1.15","721872","24225.15625","9.925148371"
"31","515079.8086","515079.8086","4139","86887600","1.19","375377","22525","5.507451526"
"32","490922.0537","490922.0537","4572","86145904","1.18","1337650","21453.59375","5.634173742"
"33","508670.8552","508670.8552","5196","96251000","1.32","1447180","21293.4375","7.424533814"
"34","3134878.163","3134878.163","5153","98617200","1.35","778862","20339.21875","7.843769856"
"35","374923.6465","374923.6465","5195","98504600","1.35","883769","18391.09375","8.153735331"
"36","724609.3119","724609.3119","4777","94418704","1.3","702991","17380.9375","6.970025674"
"37","222726.8763","222726.8763","5642","92234096","1.26","474391","23081.875","9.733856361"
"38","230212.2344","230212.2344","5519","93402304","1.28","448453","25629.0625","9.141228324"
"39","403305.8982","403305.8982","5521","97625504","1.34","491968","26168.28125","8.055487735"
"40","263577.4303","263577.4303","5702","94585296","1.3","489014","25460.46875","9.256422396"
"41","329645.0757","329645.0757","5622","91020704","1.25","427892","25888.75","10.3799263"
"42","1426044.968","1426044.968","5604","90518304","1.24","366748","26431.40625","9.840601069"
"43","249301.0816","249301.0816","5341","88230496","1.21","662782","26444.21875","7.925807171"
"44","843445.927","843445.927","6460","85144304","1.16","1942600","27238.59375","8.876728153"
"45","215278.7392","215278.7392","5596","72179000","0.987228","772430","26402.34375","11.35483319"
"46","233899.9545","233899.9545","6057","76193600","1.04","644138","26171.40625","9.578725674"
"47","252012.3489","252012.3489","5572","68814400","0.940566","741085","25588.125","9.901548419"
"48","1053264.725","1053264.725","5409","64052400","0.875189","703390","25615.3125","8.426997145"
"49","523583.1427","523583.1427","5872","68963296","0.941977","615593","26318.125","15.14661708"
"50","60","268368.7222","5368","66415200","0.906865","897940","25435.625","500"
"51","357505.7536","357505.7536","5802","64071300","0.874574","484622","25894.21875","11.83482107"
"52","332401.2488","332401.2488","5205","62262700","0.849603","386988","27187.1875","7.982204373"
"53","115961.7534","115961.7534","6402","64600000","0.881191","508314","27982.65625","10.96964547"
"54","148500.2227","148500.2227","6305","69045904","0.941496","424039","26651.875","10.18074194"
"55","178940.2135","178940.2135","6804","67444200","0.919337","487914","26370.3125","11.40414518"
"56","118751.5408","118751.5408","7404","66309600","0.90356","200541","27080.3125","10.7002671"
"57","276025.7361","276025.7361","6224","65836400","0.896796","842505","26385.78125","10.31950627"
"58","543791.251","543791.251","5851","60221400","0.820031","903457","27003.4375","9.836594916"
"59","187117.522","187117.522","5907","54188900","0.73763","369620","25910.3125","9.289146479"
